Probability,Num Builders,Num Searchers,Avg Bid,Avg Rebate,Avg Reward Builders,Avg Reward Searchers
0.0,1,9,0.11427841871251225,0.07184516129032256,1.852016965444847,0.9008516900651695
0.0,2,8,0.19114141680540936,0.6442193548387097,0.4319362846297679,0.9140863790001392
0.0,3,7,0.18015200497614367,0.686283870967742,0.23409265133742957,0.9225936796992797
0.0,4,6,0.18995307977364434,0.7129967741935483,0.18060614983752948,0.9309477838240193
0.0,5,5,0.2069206584430164,0.7742761290322581,0.11967898799283497,0.9354036000270393
0.0,6,4,0.218194104257385,0.7031731182795699,0.11127384575960184,0.9597361038134699
0.0,7,3,0.23508052075594374,0.730858064516129,0.08588061827798639,1.0065456748251278
0.0,8,2,0.21507023030024133,0.6488717741935484,0.09709014939548874,1.1105226773754655
0.0,9,1,0.14094301518287605,0.5611232974910394,0.0814402534903183,1.420138976731209
0.1,1,9,0.2174985279865893,0.06703225806451611,2.439897085169074,0.6503556489770795
0.1,2,8,0.32058421085787014,0.7288677419354839,0.4156239081223235,0.7527548472652266
0.1,3,7,0.25874894304426876,0.737389247311828,0.24419558400594613,0.7880189679429085
0.1,4,6,0.26442907620165607,0.7777596774193548,0.1499737174380124,0.8100956333638845
0.1,5,5,0.2631070456088223,0.7709174193548387,0.14451881169327346,0.8409617865045906
0.1,6,4,0.25749333095476507,0.7473086021505376,0.11561914141092375,0.88413417687959
0.1,7,3,0.2371020803410846,0.6886331797235024,0.10216666424404153,0.9685636140438125
0.1,8,2,0.24590361218578516,0.6324306451612903,0.09195255738825883,1.0507317830195135
0.1,9,1,0.17495621304920012,0.5504164874551971,0.08634422442967397,1.4050373529930096
0.2,1,9,0.33004011299514513,0.0314258064516129,2.9722576290299942,0.46376692278567866
0.2,2,8,0.42367495108857944,0.6660935483870969,0.5516476661664578,0.6129187440693257
0.2,3,7,0.36853196867630145,0.7734903225806453,0.22477765823053986,0.6717172678705726
0.2,4,6,0.32968314002104815,0.7809903225806452,0.1403984946948912,0.7145155528457624
0.2,5,5,0.3293712939082745,0.7695690322580646,0.1412474500084116,0.7400460035108021
0.2,6,4,0.3236834796835416,0.7692720430107527,0.09947215157757965,0.8050694393751158
0.2,7,3,0.28612887042327495,0.742957603686636,0.09012117913975147,0.9094659060910845
0.2,8,2,0.27145065627643594,0.6712548387096774,0.09622644690614678,1.0461320227691693
0.2,9,1,0.16022480434353162,0.5526551971326165,0.09395338769708,1.3872136206969647
0.3,1,9,0.439456845709286,0.035670967741935476,3.1797464632053143,0.3300210617953271
0.3,2,8,0.45784958142745796,0.5578387096774193,0.7144040835634604,0.5168999838527266
0.3,3,7,0.4440158135162376,0.7423720430107527,0.2831253591967507,0.5717533825086157
0.3,4,6,0.39117087550969437,0.7230048387096775,0.21279629318875032,0.6172835564405201
0.3,5,5,0.3873459669090529,0.7872270967741934,0.13069488762867798,0.6777596482481647
0.3,6,4,0.34259927544607754,0.7689129032258064,0.08836892129132182,0.7530958789296249
0.3,7,3,0.3379706088434568,0.7420903225806452,0.0808324756990309,0.8488592235380448
0.3,8,2,0.2718313405063554,0.6881483870967742,0.08012794263042862,1.0504106236702628
0.3,9,1,0.1532926030863033,0.5882050179211469,0.08344574226311073,1.448651794561486
0.4,1,9,0.549840425279551,0.03853548387096773,3.28758992856286,0.2386847351074965
0.4,2,8,0.538143707462983,0.545058064516129,0.7445004576612243,0.42334464073649514
0.4,3,7,0.5056975813368407,0.7032989247311828,0.308318272320121,0.4924333493314531
0.4,4,6,0.46334883917735076,0.7728854838709678,0.1600588251038416,0.5657634962632446
0.4,5,5,0.43930520714438137,0.7858387096774193,0.14079532067054765,0.609476693101693
0.4,6,4,0.4248269342640283,0.7959881720430108,0.10250609106653699,0.6765444056189654
0.4,7,3,0.367867891133504,0.7340460829493087,0.08197168513211946,0.7836637426052915
0.4,8,2,0.29966485018156486,0.6410766129032258,0.09883276458937854,0.9733457762824929
0.4,9,1,0.19338031128057925,0.584652329749104,0.09163035810581424,1.4025112786595362
0.5,1,9,0.5813684665667287,0.031038709677419347,3.1272936045274973,0.1953206029126642
0.5,2,8,0.6032899599635057,0.5397161290322581,0.691924539303968,0.3423187036673899
0.5,3,7,0.5766188467481997,0.6862021505376343,0.34981207517984536,0.4108117319551554
0.5,4,6,0.560856019160696,0.7940806451612904,0.1912199461433926,0.47230114326936273
0.5,5,5,0.4911038776081059,0.7842541935483871,0.13682167665744333,0.5435137340313412
0.5,6,4,0.46701932467341345,0.79687311827957,0.0993076002821891,0.6283066371943248
0.5,7,3,0.3984778623611803,0.6794,0.09350857386989642,0.7258443894955923
0.5,8,2,0.36700223160994644,0.7302266129032258,0.06928100557992407,0.9428871063481277
0.5,9,1,0.19264797152297777,0.593905376344086,0.07723817090723631,1.4040485975721189
0.6,1,9,0.6675685740376829,0.04388387096774193,3.113064087176517,0.14709383432421433
0.6,2,8,0.6399460504685124,0.48419999999999996,0.6688226021916541,0.2857819578242992
0.6,3,7,0.592548975182071,0.658858064516129,0.37779029535280073,0.3656716963052615
0.6,4,6,0.5785611391555296,0.6611967741935484,0.23616456779263237,0.4006360435243906
0.6,5,5,0.5493713364474091,0.7453367741935484,0.1511789551279038,0.4731520349754148
0.6,6,4,0.5058741942916172,0.7614516129032258,0.10760015975036494,0.5673894889968916
0.6,7,3,0.4435092301432479,0.732500460829493,0.09603732918389225,0.6767287822437515
0.6,8,2,0.39899626755428225,0.6442967741935484,0.08834845251149168,0.841179196335853
0.6,9,1,0.15391699651791713,0.5133992831541219,0.08628323274609996,1.359746829960242
0.7,1,9,0.7167385366752187,0.046348387096774184,2.9399227180702594,0.11630178264252537
0.7,2,8,0.6725970219175262,0.43871290322580647,0.6820414878220318,0.2341550540284622
0.7,3,7,0.6437296490047991,0.5654967741935485,0.37780622016724774,0.2852809684613866
0.7,4,6,0.6455774277158047,0.6296306451612903,0.24866768253960148,0.3350919122011456
0.7,5,5,0.584372349609671,0.7247896774193548,0.15925590873697948,0.42975465572888893
0.7,6,4,0.5639790449746082,0.6835688172043011,0.12473875120528928,0.487790783796845
0.7,7,3,0.49743658028495463,0.7079806451612903,0.10792422528900958,0.6189464322697222
0.7,8,2,0.37033939588234926,0.6157467741935484,0.0826917413473158,0.8282057520371936
0.7,9,1,0.1632652028192068,0.5407498207885304,0.07108161228790205,1.4020888185325158
0.8,1,9,0.7229172394956426,0.031374193548387094,2.8260254871249946,0.09710045601343256
0.8,2,8,0.697223963526451,0.47596451612903223,0.5523824074849986,0.19497051340551366
0.8,3,7,0.6694493986659338,0.5528258064516128,0.3895942338227838,0.25002282208448345
0.8,4,6,0.655055033653488,0.578216129032258,0.27243265713389014,0.2940073379508713
0.8,5,5,0.6247096373958818,0.5983987096774193,0.20916134928579178,0.35626900662366234
0.8,6,4,0.6252172746606497,0.6664935483870968,0.11493240176746564,0.4246841692029494
0.8,7,3,0.539816904920267,0.6340940092165899,0.11367013574071223,0.5466634403812772
0.8,8,2,0.443414325485168,0.639525,0.11018001137666436,0.7833668457241245
0.8,9,1,0.15364761710786676,0.5344910394265232,0.08731573180758916,1.3890965554975163
0.9,1,9,0.7314374248801341,0.02107096774193548,2.6798335030255847,0.08217675952765632
0.9,2,8,0.7178985966291294,0.46818709677419357,0.5379001803159852,0.16893721282499652
0.9,3,7,0.7154535226030475,0.46409677419354833,0.3639712912774179,0.18848146307510932
0.9,4,6,0.7128986410325714,0.5589451612903225,0.23624322059606123,0.23384983553932565
0.9,5,5,0.6608873077174658,0.5077096774193548,0.21381135261073886,0.2883680562942933
0.9,6,4,0.6120800861198312,0.605083870967742,0.14768778846390193,0.3912770183640716
0.9,7,3,0.5419230894274605,0.6516046082949308,0.11030036403248941,0.5362145280467874
0.9,8,2,0.4166689941917043,0.6520983870967741,0.09703908535839707,0.7899208948437692
0.9,9,1,0.17705948398990615,0.5343670250896058,0.08039223797931498,1.3874007932786436
1.0,1,9,0.7338575678147785,0.028793548387096767,2.470089791599134,0.0801657388805824
1.0,2,8,0.7266683361421759,0.547216129032258,0.3953917050274065,0.14799514931348992
1.0,3,7,0.7185409170392331,0.5164731182795699,0.27501942300977034,0.15763862778166332
1.0,4,6,0.6884393776677827,0.497208064516129,0.24451359269414005,0.1966724987211491
1.0,5,5,0.6872973560709312,0.5309135483870968,0.19726110014216658,0.2377554193623052
1.0,6,4,0.6785117361091156,0.5330709677419355,0.14345977062302787,0.3016881870862024
1.0,7,3,0.6158783581845181,0.5565815668202765,0.13700696263250275,0.4241079550049015
1.0,8,2,0.4949280587546593,0.5900032258064516,0.08208815283357859,0.6770293827037763
1.0,9,1,0.16101293251070756,0.5458580645161291,0.07545421738670378,1.4061992918302766
